#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:dna" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:dna" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:dna" name="distribution" x="@birthRate.t:dna">
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.05" name="M" spec="beast.core.parameter.RealParameter">5.5</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="5.0">0.048</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.011" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:dna" name="distribution">
#            <parameter id="ucldStdev.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	rateCategories.1	rateCategories.2	rateCategories.3	rateCategories.4	rateCategories.5	rateCategories.6	rateCategories.7	rateCategories.8	rateCategories.9	rateCategories.10	rateCategories.11	rateCategories.12	rateCategories.13	rateCategories.14	rateCategories.15	rateCategories.16	rateCategories.17	rateCategories.18	rateCategories.19	rateCategories.20	rateCategories.21	rateCategories.22	rateCategories.23	rateCategories.24	rateCategories.25	rateCategories.26	rateCategories.27	rateCategories.28	rateCategories.29	rateCategories.30	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-632.5893017795089	NaN	-632.5893017795089	NaN	2.1731244744513707	-7.931310843712682	1.0	0.1	1.0404960906597656	0.011762225252067517	0.10683504688806222	89	48	89	15	87	3	70	18	97	9	62	25	9	79	26	64	30	66	50	32	33	89	99	22	64	30	95	33	68	74	2.0	0.25	0.25	0.25	0.25
100000	12.729813742555788	NaN	12.729813742555788	NaN	0.3417077528243186	12.220744452370806	5.9712101105391024	0.31460555029286175	1.0228190084157764	0.10809754901747186	0.3116543890188205	51	89	99	6	20	70	28	89	6	55	72	50	96	5	23	75	20	86	72	42	18	89	88	17	96	88	39	98	50	33	0.32187308716418217	0.38289382861088206	0.26122415828059836	0.1998084581316359	0.15607355497688363
200000	7.946815572470123	NaN	7.946815572470123	NaN	0.5621823925531686	9.830037818094851	5.573702284035642	0.25212224780555836	0.9369467227349492	0.04432406150770776	0.21160567214198542	7	7	19	94	54	15	89	8	36	72	80	13	57	74	76	85	22	57	50	89	53	88	11	47	24	37	62	90	29	61	17.817660724801918	0.2835737664891635	0.4165031377668321	0.161781756495449	0.13814133924855526
300000	11.58149094964109	NaN	11.58149094964109	NaN	0.6722925474294552	9.583670929203453	5.664549985674501	0.17142815294661543	1.044419897202782	0.044021803697564074	0.20789121949582448	85	85	67	23	71	1	18	25	29	84	90	20	14	13	76	69	28	84	31	72	40	86	31	61	69	16	24	19	88	85	1.390297012461779	0.15890331360366994	0.40883040568501283	0.15052652154732887	0.2817397591639882
400000	9.471164160862308	NaN	9.471164160862308	NaN	0.506840094695665	7.527298853972642	5.28887192783632	0.20989934194729518	1.011094902408811	0.025287816548550866	0.1577803546535206	47	68	19	51	32	32	32	21	53	86	42	97	99	85	75	16	28	53	89	83	58	87	38	11	46	18	82	18	32	53	1.901877380762472	0.2877694316534826	0.27888228725974357	0.12815625874800757	0.30519202233876586
500000	5.17376603255486	NaN	5.17376603255486	NaN	0.5856279722258815	2.7810865656170325	5.4515084148502835	0.12950089459620653	1.025790724732019	0.06762340116166904	0.25526230642106024	38	50	75	13	88	43	26	89	77	66	49	0	8	90	98	22	23	47	80	17	3	75	65	86	44	84	49	41	25	5	2.857865855958144	0.21506818317917356	0.16363576322059967	0.3729665946390157	0.24832945896121061
600000	10.595662247749736	NaN	10.595662247749736	NaN	0.4857398675782663	7.959639890560384	5.342658812282788	0.03639812089802235	0.9671829615501554	0.05661771622070142	0.2334639338332579	64	74	43	6	78	8	96	96	43	19	48	38	10	80	33	49	51	58	95	85	28	22	72	28	46	67	3	31	25	99	5.58982274209008	0.22849378105947132	0.25320805338148455	0.20383597170971132	0.3144621938493322
700000	14.18623886750551	NaN	14.18623886750551	NaN	0.25817193109530756	16.407585529977155	5.604520461881152	0.3266154821699783	1.0726995316970063	0.06374039052946814	0.24098982744775085	86	71	80	75	18	93	48	63	94	11	14	12	16	9	92	76	25	35	72	22	40	34	23	19	55	21	83	88	70	94	20.336943511643213	0.3929226275336671	0.20534114545637078	0.26373250898488493	0.13800371802507655
800000	4.284200958204001	NaN	4.284200958204001	NaN	0.4433162461743396	4.817114299675858	5.571294257073164	0.06575725656275798	1.0173900428888731	0.061246105304651105	0.2455778184769825	41	11	92	44	49	6	96	70	0	48	95	70	33	64	20	62	92	72	0	85	74	2	2	51	11	63	65	36	67	9	3.312696686846839	0.2541952088803385	0.03680758811495666	0.4287696254953828	0.28022757750932126
900000	20.253721315003546	NaN	20.253721315003546	NaN	0.2504271120731524	15.14019836079265	5.2022025907367295	3.921922445451666E-4	1.1049879401115943	0.056043941305809954	0.21794939944965308	13	35	74	53	12	88	76	61	77	39	91	21	77	88	89	94	42	30	35	62	68	37	96	94	88	57	80	64	84	85	2.960422783685676	0.26213111002882816	0.2229053329809305	0.1947909889972429	0.32017256799299765
